,city,state
12239,North Prairie,Wisconsin
12240,Homer Glen,Illinois
12241,Gold Hill,Oregon
12242,Marietta,Oklahoma
12243,Cottage City,Maryland
12244,Hazardville,Connecticut
12245,Portola Valley,California
12246,Linden Springs,Maryland
12247,Lake View,Alabama
12248,Spring Glen,Utah
12249,White Oak,Texas
12250,Wrightsboro,North Carolina
12251,Tenstrike,Minnesota
12252,East Dailey,West Virginia
12253,Cedar Glen West,New Jersey
12254,Riverton,Washington
12255,Jefferson,Pennsylvania
12256,Woodlake,Virginia
12257,Norco,Louisiana
12258,Chaffee,Missouri
12259,Canal Lewisville,Ohio
12260,Kelleys Island,Ohio
12261,Plainview,Texas
12262,Hillside,Illinois
12263,Chums Corner,Michigan
12264,Moraga,California
12265,Palermo,New York
12266,Fromberg,Montana
12267,Wayland,New York
12268,McMillin,Washington
12269,Paradis,Louisiana
12270,Eggertsville,New York
12271,Fern Acres,Hawaii
12272,Boylston,Massachusetts
12273,Churchill,Pennsylvania
12274,Celeryville,Ohio
12275,Russell,New York
12276,Ben Avon Heights,Pennsylvania
12277,Dulac,Louisiana
12278,North Lindenhurst,New York
12279,Forest Hills,North Carolina
12280,Sherman,Connecticut
12281,Markleysburg,Pennsylvania
12282,North Rose,New York
12283,Unionville,Pennsylvania
12284,Millwood,Washington
12285,Oconto Falls,Wisconsin
12286,Adelphi,Maryland
12287,Geronimo,Texas
12288,Mendon,Illinois
12289,Newfields,New Hampshire
12290,Schneider,Indiana
12291,Lincoln,Arkansas
12292,Bonneau,South Carolina
12293,Morgantown,West Virginia
12294,Minneapolis,Kansas
12295,Salona,Pennsylvania
12296,Paynesville,Minnesota
12297,Mount Morris,Illinois
12298,New Salem,Massachusetts
12299,Central Point,Oregon
12300,Newkirk,Oklahoma
12301,Clinton,Michigan
12302,Papillion,Nebraska
12303,Tahoe Vista,California
12304,Mount Pleasant,Michigan
12305,Russia,New York
12306,Selinsgrove,Pennsylvania
12307,Montz,Louisiana
12308,Woodbury,New Jersey
12309,Colonial Heights,Virginia
12310,Homeland Park,South Carolina
12311,St. Mary's,Colorado
12312,Ewing,New Jersey
12313,East Chicago,Indiana
12314,Stanley,North Carolina
12315,Chelsea,Vermont
12316,Forest View,Illinois
12317,Park City,Illinois
12318,Tremont,Pennsylvania
12319,Fowlerville,Michigan
12320,Sickles Corner,Pennsylvania
12321,Rest Haven,Illinois
12322,Plainville,Ohio
12323,Leslie,Missouri
12324,Wabasso Beach,Florida
12325,West Elizabeth,Pennsylvania
12326,Rutherfordton,North Carolina
12327,South Ashburnham,Massachusetts
12328,Odessa,Missouri
12329,Ashley,Michigan
12330,Belgrade,Minnesota
12331,Lexington Hills,California
12332,South Russell,Ohio
12333,Milford,New Jersey
12334,St. Louis,Missouri
12335,The Villages,Florida
12336,Marcus Hook,Pennsylvania
12337,Brookwood,Alabama
12338,Palm Springs North,Florida
12339,Aurora,Colorado
12340,Topsfield,Massachusetts
12341,Peachtree Corners,Georgia
12342,New Waterford,Ohio
12343,Roan Mountain,Tennessee
12344,Garwood,New Jersey
12345,Palm Springs,Florida
12346,Titusville,Florida
12347,Ontario,New York
12348,Auberry,California
12349,Rock Falls,Wisconsin
12350,Urie,Wyoming
12351,Hilbert,Wisconsin
12352,Scotch Meadows,North Carolina
12353,Bargaintown,New Jersey
12354,Gainesville,Texas
12355,Thendara,New York
12356,Weidman,Michigan
12357,Avocado Heights,California
12358,Rural Hall,North Carolina
12359,Priest River,Idaho
12360,East Moline,Illinois
12361,Walls,Mississippi
12362,Millersburg,Indiana
12363,Montrose,Iowa
12364,Daleville,Virginia
12365,Iron Ridge,Wisconsin
12366,Friendly,Maryland
12367,Cleves,Ohio
12368,Tupper Lake,New York
12369,Trion,Georgia
12370,Norris,Illinois
12371,Maineville,Ohio
12372,Crosby,Texas
12373,Glennville,California
12374,Hollins,Virginia
12375,Alexandria Bay,New York
12376,Spiceland,Indiana
12377,Old Fig Garden,California
12378,Horseshoe Bend,Idaho
12379,Hickory,Pennsylvania
12380,Collinsville,Mississippi
12381,Kekaha,Hawaii
12382,Valley Falls,Rhode Island
12383,Crockett,California
12384,Marion,Indiana
12385,Kingston Estates,New Jersey
12386,Dickson,Tennessee
12387,Brandon,Vermont
12388,Saxonburg,Pennsylvania
12389,New Philadelphia,Pennsylvania
12390,Atwater,Minnesota
12391,Lacy-Lakeview,Texas
12392,Le Roy,Illinois
12393,North Caldwell,New Jersey
12394,Sterling,Illinois
12395,Rock Island,Illinois
12396,Great Neck Estates,New York
12397,Tivoli,New York
12398,Mogadore,Ohio
12399,Beech Grove,Kentucky
12400,East Bronson,Florida
12401,Bowling Green,Maryland
12402,Fairmont,Illinois
12403,San Leon,Texas
12404,Steger,Illinois
12405,Fish Lake,Indiana
12406,Glenford,Ohio
12407,Airmont,New York
12408,Culloden,West Virginia
12409,Crestview,Florida
12410,Alton,Texas
12411,Monroeville,Indiana
12412,Brownwood,Texas
12413,Gray,Georgia
12414,Hollandale,Minnesota
12415,Eastlake,Ohio
12416,Williamstown,Pennsylvania
12417,Bartow,Florida
12418,Hawk Run,Pennsylvania
12419,Germantown,Tennessee
12420,Anmoore,West Virginia
12421,Urbandale,Iowa
12422,Casco,Maine
12423,Chauvin,Louisiana
12424,Maysville,Georgia
12425,Lake Katrine,New York
12426,Fairplains,North Carolina
12427,Plainview,Arkansas
12428,Val Verde,California
12429,West Tisbury,Massachusetts
12430,Harrisburg,South Dakota
12431,Ho-Ho-Kus,New Jersey
12432,Trent Woods,North Carolina
12433,Hancock,Massachusetts
12434,Bowersville,Ohio
12435,Valley Highway,Ohio
12436,Harrisville,Utah
12437,Wadesboro,North Carolina
12438,Byng,Oklahoma
12439,Jacksonville,Alabama
12440,Taft Mosswood,California
12441,Verplanck,New York
12442,Douglas,Massachusetts
12443,Grants,New Mexico
12444,Elfers,Florida
12445,Wheatland,California
12446,Veteran,New York
12447,Cumby,Texas
12448,Midlothian,Illinois
12449,Elburn,Illinois
12450,Timnath,Colorado
12451,St. Francis,Wisconsin
12452,Bear River City,Utah
12453,Blue Grass,Iowa
12454,Charles City,Virginia
12455,Grafton,Illinois
12456,Maplewood,Washington
12457,Rogers,Minnesota
12458,Scraper,Oklahoma
12459,Tickfaw,Louisiana
12460,Mulino,Oregon
12461,Pine Manor,Florida
12462,Lula,Georgia
12463,Rossville,Illinois
12464,Greenfield Town,Massachusetts
12465,Marshall,North Carolina
12466,Vandalia,Missouri
12467,Browns Lake,Wisconsin
12468,Columbus,Pennsylvania
12469,Tanglewilde,Washington
12470,Chenoweth,Oregon
12471,Bridgeport,Alabama
12472,Cascadia,Oregon
12473,Bentleyville,Pennsylvania
12474,Iselin,New Jersey
12475,Argos,Indiana
12476,South Riding,Virginia
12477,Weldon Spring,Missouri
12478,East Newark,New Jersey
12479,Felts Mills,New York
12480,Tres Pinos,California
12481,Aberdeen Gardens,Washington
12482,Gold Key Lake,Pennsylvania
12483,Cashtown,Pennsylvania
12484,Ballston Spa,New York
12485,Moosic,Pennsylvania
12486,Aviston,Illinois
12487,Lee,New York
12488,Pinch,West Virginia
12489,Central City,Nebraska
12490,Porter,Texas
12491,Timonium,Maryland
12492,Concord,Massachusetts
12493,Haring,Michigan
12494,Hopwood,Pennsylvania
12495,Wilmington,Ohio
12496,Udall,Kansas
12497,Buffalo,Missouri
12498,Edgewood,Indiana
12499,Remsen,New York
12500,Le Ray,New York
12501,Lake Panorama,Iowa
12502,Northwest,North Carolina
12503,Rarity Bay,Tennessee
12504,Adams,Minnesota
12505,Underhill Flats,Vermont
12506,Rockport,Arkansas
12507,Rodman,New York
12508,Heritage Pines,Florida
12509,Ocean Gate,New Jersey
12510,Golden Shores,Arizona
12511,Wenatchee,Washington
12512,Gold River,California
12513,Craigsville,Virginia
12514,Augusta-Richmond County,Georgia
12515,Arlington Heights,Illinois
12516,Blessing,Texas
12517,Rainbow Lakes,New Jersey
12518,Melrose,Massachusetts
12519,Hedgesville,West Virginia
12520,Loganville,Georgia
12521,Granite Bay,California
12522,Sharpsville,Pennsylvania
12523,Cottleville,Missouri
12524,Bodega Bay,California
12525,Payne Springs,Texas
12526,Resaca,Georgia
12527,Bellefontaine Neighbors,Missouri
12528,Millstadt,Illinois
12529,Elysian,Minnesota
12530,Brown Deer,Wisconsin
12531,Liberty,Utah
12532,Gloucester City,New Jersey
12533,La Grange Park,Illinois
12534,Wellsville,Ohio
12535,Warminster Heights,Pennsylvania
12536,North Puyallup,Washington
12537,Fairhope,Pennsylvania
12538,Oakwood Park,Missouri
12539,Beech Bottom,West Virginia
12540,Port Trevorton,Pennsylvania
12541,Salisbury Mills,New York
12542,Chubbuck,Idaho
12543,Fairfield,Pennsylvania
12544,Southeast,New York
12545,New Buffalo,Pennsylvania
12546,Waldo,Wisconsin
12547,Ocosta,Washington
12548,Mount Hood Villages,Oregon
12549,Stafford,Oregon
12550,Perrinton,Michigan
12551,Cinco Bayou,Florida
12552,Haverhill,Iowa
12553,Athens,Pennsylvania
12554,Duncan,Oklahoma
12555,Woodland,North Carolina
12556,Walnut,Illinois
12557,Ringwood,New Jersey
12558,Holden,West Virginia
12559,Weatherly,Pennsylvania
12560,Valley Brook,Oklahoma
12561,Boulder Hill,Illinois
12562,Battle Lake,Minnesota
12563,Golden,Illinois
12564,Manchester,Vermont
12565,Rocky Hill,New Jersey
12566,Munhall,Pennsylvania
12567,West Hazleton,Pennsylvania
12568,Dutch Flat,California
12569,Highland,Indiana
12570,Oxford,Michigan
12571,Wainaku,Hawaii
12572,North Attleborough Town,Massachusetts
12573,Ely,Iowa
12574,Delphos,Ohio
12575,Fortescue,New Jersey
12576,Strathmoor Village,Kentucky
12577,Lockport Heights,Louisiana
12578,Stony Brook,New York
12579,Chase,Alaska
12580,Louisville,New York
12581,Aragon,Georgia
12582,Otterbein,Indiana
12583,Falmouth,Virginia
12584,Hinsdale,New York
12585,Folcroft,Pennsylvania
12586,Wahneta,Florida
12587,Lakeside,Oregon
12588,Greenfield,Wisconsin
12589,Dupont,Pennsylvania
12590,Springville,Utah
12591,Smithton,Illinois
12592,Dexter,New York
12593,Temple,Georgia
12594,Constantia,New York
12595,Cornersville,Tennessee
12596,Elkridge,Maryland
12597,Affton,Missouri
12598,Crozet,Virginia
12599,Closter,New Jersey
12600,Emeryville,California
12601,Champion,New York
12602,Rhinecliff,New York
12603,Myrtle Point,Oregon
12604,Smyrna,Tennessee
12605,Hollidaysburg,Pennsylvania
12606,Sedalia,Missouri
12607,Spillertown,Illinois
12608,Savoy,Massachusetts
12609,Downing,Wisconsin
12610,Coleta,Illinois
12611,Ford Cliff,Pennsylvania
12612,Mimbres,New Mexico
12613,Ivy,Virginia
12614,Hunters Hollow,Kentucky
12615,Harmony,New Jersey
12616,Kentland,Indiana
12617,St. Stephen,South Carolina
12618,Rockville,Indiana
12619,Haledon,New Jersey
12620,Lincoln,Alabama
12621,Canaan,New York
12622,Ludington,Michigan
12623,Quinton,Oklahoma
12624,San Pasqual,California
12625,Lost City,Oklahoma
12626,Braselton,Georgia
12627,Gasport,New York
12628,Weatogue,Connecticut
12629,St. Clair,Pennsylvania
12630,Spring Park,Minnesota
12631,Rockholds,Kentucky
12632,Winton,California
12633,Lawson Heights,Pennsylvania
12634,Early,Texas
12635,Braden,Tennessee
12636,Benld,Illinois
12637,Pacheco,California
12638,Burlingame,California
12639,Evans Mills,New York
12640,Lapel,Indiana
12641,McGovern,Pennsylvania
12642,Central City,Pennsylvania
12643,Carteret,New Jersey
12644,Lismore,Minnesota
12645,Dannemora,New York
12646,Franklin Grove,Illinois
12647,Hampstead,North Carolina
12648,Neola,Iowa
12649,Dash Point,Washington
12650,Tuttle,Oklahoma
12651,New Deal,Tennessee
12652,Leeds Point,New Jersey
12653,Olathe,Colorado
12654,Aurora,Oregon
12655,Childersburg,Alabama
12656,High Bridge,New Jersey
12657,Crescent Springs,Kentucky
12658,Coos Bay,Oregon
12659,Bonduel,Wisconsin
12660,Nogal,New Mexico
12661,Philmont,New York
12662,Chatham,Virginia
12663,Newport,North Carolina
12664,Melrose,Oregon
12665,DeLand Southwest,Florida
12666,Gunter,Texas
12667,Jean Lafitte,Louisiana
12668,Trail Side,Colorado
12669,Dodge Center,Minnesota
12670,Poplar Grove,Illinois
12671,Washington Mills,New York
12672,Sebring,Florida
12673,Forest Junction,Wisconsin
12674,Readlyn,Iowa
12675,Lakeville,Connecticut
12676,Shorewood,Minnesota
12677,Mecosta,Michigan
12678,Altoona,Iowa
12679,Brightwaters,New York
12680,Stoughton,Massachusetts
12681,Union City,Oklahoma
12682,Bridgeton,North Carolina
12683,Melbeta,Nebraska
12684,Kulpsville,Pennsylvania
12685,Wanamingo,Minnesota
12686,Centerton,Arkansas
12687,Chesterville,Ohio
12688,McDonald,Ohio
12689,Harriman,Tennessee
12690,Clifton,New York
12691,Good Hope,Illinois
12692,Grand Rapids,Ohio
12693,Lake Waukomis,Missouri
12694,Cecil-Bishop,Pennsylvania
12695,Port Angeles,Washington
12696,Sikeston,Missouri
12697,Cordova,South Carolina
12698,Deering,North Dakota
12699,Trooper,Pennsylvania
12700,California Junction,Iowa
12701,Jamestown,New Mexico
12702,West Menlo Park,California
12703,Bono,Arkansas
12704,High Point,Florida
12705,Mapleton,Utah
12706,Pompano Beach,Florida
12707,Sabattus,Maine
12708,Caney,Kansas
12709,Elkins,West Virginia
12710,Green Spring,West Virginia
12711,Richmond,Michigan
12712,Orlinda,Tennessee
12713,North Barrington,Illinois
12714,Mechanicsville,Maryland
12715,Mulat,Florida
12716,Eldorado at Santa Fe,New Mexico
12717,Hope Mills,North Carolina
12718,Barry,Texas
12719,Langston,Alabama
12720,New Haven,Michigan
12721,Cement City,Michigan
12722,Colwich,Kansas
12723,Hunt,New York
12724,Bainbridge,Georgia
12725,North Shore,Virginia
12726,Severn,Maryland
12727,Marcola,Oregon
12728,Lyons,Texas
12729,Garden Valley,Idaho
12730,Swartzville,Pennsylvania
12731,Splendora,Texas
12732,Cordova,Alabama
12733,Huntingburg,Indiana
12734,Galen,New York
12735,Platte Center,Nebraska
12736,Hammond,Wisconsin
12737,Munsey Park,New York
12738,Commerce City,Colorado
12739,Dennison,Ohio
12740,McRae,Arkansas
12741,North Falmouth,Massachusetts
12742,Wauseon,Ohio
12743,Pacific Junction,Iowa
12744,Laguna West-Lakeside,California
12745,Red Lick,Texas
12746,Waipio,Hawaii
12747,Whitestown,Indiana
12748,Aristes,Pennsylvania
12749,Cohasset,Minnesota
12750,Brooklyn Heights,Ohio
12751,Edmonton,Kentucky
12752,Uhland,Texas
12753,Johnstown,Pennsylvania
12754,South Dennis,Massachusetts
12755,El Mirage,Arizona
12756,Compton,Illinois
12757,Dover,New Hampshire
12758,Sardis,Georgia
12759,Highland Heights,Kentucky
12760,Natick,Massachusetts
12761,Arnold,Maryland
12762,Sienna Plantation,Texas
12763,Del Aire,California
12764,Union Valley,Texas
12765,Varnamtown,North Carolina
12766,Oneida Castle,New York
12767,Edina,Minnesota
12768,Citrus Hills,Florida
12769,Masonville,Kentucky
12770,Gilmer,Texas
12771,Keasbey,New Jersey
12772,Grover,North Carolina
12773,Stratford Downtown,Connecticut
12774,Genoa,Arkansas
12775,Edisto,South Carolina
12776,Crossville,Tennessee
12777,Riverside,Idaho
12778,Fruita,Colorado
12779,Great Meadows,New Jersey
12780,Harvard,Massachusetts
12781,Secretary,Maryland
12782,Woodland Hills,Utah
12783,Pickensville,Alabama
12784,Cleone,California
12785,Winter Garden,Florida
12786,West Brookfield,Massachusetts
12787,Clark Mills,New York
12788,Greenup,Kentucky
12789,Candlewood Isle,Connecticut
12790,Watertown,Connecticut
12791,Brook Highland,Alabama
12792,Mars Hill,North Carolina
12793,Ray,North Dakota
12794,Dallas Center,Iowa
12795,Delshire,Ohio
12796,Olalla,Washington
12797,Upper Red Hook,New York
12798,Geneseo,Illinois
12799,Golden Valley,Arizona
12800,Cambrian Park,California
12801,Bowling Green,Kentucky
12802,Moorestown-Lenola,New Jersey
12803,Perry Hall,Maryland
12804,Geneva,Florida
12805,Litchfield Beach,South Carolina
12806,Palo Pinto,Texas
12807,Fort Salonga,New York
12808,Sacramento,California
12809,Glencoe,Illinois
12810,Moundsville,West Virginia
12811,Dieterich,Illinois
12812,Cedar Point,Illinois
12813,Yarrowsburg,Maryland
12814,Runaway Bay,Texas
12815,Stanton,Michigan
12816,Bantam,Connecticut
12817,McColl,South Carolina
12818,Marumsco,Virginia
12819,Broad Creek,North Carolina
12820,Naples,Maine
12821,Southside,Alabama
12822,Flushing,Ohio
12823,Wittmann,Arizona
12824,Deer River,Minnesota
12825,Southwick,Massachusetts
12826,Dent,Minnesota
12827,Magnolia,Mississippi
12828,Gloucester,North Carolina
12829,Fall City,Washington
12830,Canaan,New Hampshire
12831,West Carrollton,Ohio
12832,Ossian,Indiana
12833,Tullahoma,Tennessee
12834,Big Horn,Wyoming
12835,Lovejoy,Georgia
12836,Florida,New York
12837,Northwest Harbor,New York
12838,Buckhorn,Pennsylvania
12839,Wilderness Rim,Washington
12840,Kemps Mill,Maryland
12841,Blairsville,Illinois
12842,Vanceboro,North Carolina
12843,North Eastham,Massachusetts
12844,Lohman,Missouri
12845,Epping,North Dakota
12846,Quakertown,Pennsylvania
12847,Lockport Heights,Illinois
12848,Remington,Virginia
12849,Lamont,Michigan
12850,Clymer,Pennsylvania
12851,Gnadenhutten,Ohio
12852,Lake Sherwood,California
12853,Hilmar-Irwin,California
12854,Highlands,California
12855,Millersburg,Oregon
12856,Vinita Park,Missouri
12857,Apple Valley,Ohio
12858,Rodanthe,North Carolina
12859,Beverly Hills,Michigan
12860,Lincoln,California
12861,Holbrook,Arizona
12862,Erie,Illinois
12863,Pleasant Valley,Missouri
12864,Baxter Estates,New York
12865,Adamsville,Alabama
12866,Fairland,Indiana
12867,Essexville,Michigan
12868,Beverly,Illinois
12869,Stanford,California
12870,Canisteo,New York
12871,Springboro,Ohio
12872,O'Fallon,Illinois
12873,Persia,Iowa
12874,North Woodstock,New Hampshire
12875,Ogden,Kansas
12876,Marysville,Washington
12877,Columbus,Wisconsin
12878,Eutaw,Alabama
12879,Lewistown,Maryland
12880,South Cle Elum,Washington
12881,Columbus,New Mexico
12882,Catlettsburg,Kentucky
12883,Windsor,Florida
12884,Lawrence Creek,Oklahoma
12885,North Bend,Nebraska
12886,Saugerties,New York
12887,Lincolnville,South Carolina
12888,Boulder Canyon,South Dakota
12889,Randolph,New York
12890,Keswick,Virginia
12891,Keene,Texas
12892,Oaks of Parsonage,Maryland
12893,Gordonville,Pennsylvania
12894,East Hill-Meridian,Washington
12895,Cottonwood,Alabama
12896,Desert Hot Springs,California
12897,Fountain Hills,Arizona
12898,Washington,Iowa
12899,Spirit Lake,Idaho
12900,Rawlings,Maryland
12901,Dexter,Michigan
12902,Avis,Pennsylvania
12903,Assumption,Illinois
12904,Wykoff,Minnesota
12905,Buxton,North Carolina
12906,Farmington,North Carolina
12907,Payneway,Arkansas
12908,Auburn,Illinois
12909,Watertown,Minnesota
12910,Hungry Horse,Montana
12911,Cedar Lake,Oklahoma
12912,Big Rapids,Michigan
12913,Sterling,Oklahoma
12914,Eastham,Massachusetts
12915,Colfax,Wisconsin
12916,Forks,Washington
12917,Locke,New York
12918,Safford,Arizona
12919,Bertsch-Oceanview,California
12920,Scipio,New York
12921,Tracy,Missouri
12922,Wilmore,Pennsylvania
12923,Clayton,California
12924,Plattekill,New York
12925,North Baltimore,Ohio
12926,Kalaoa,Hawaii
12927,Wyncote,Pennsylvania
12928,Springfield Center,New York
12929,Evanston,Wyoming
12930,Skokie,Illinois
12931,Weissport East,Pennsylvania
12932,Bolingbroke,Georgia
12933,Blaine,Washington
12934,Fairfield Plantation,Georgia
12935,Hammett,Idaho
12936,Millville,Massachusetts
12937,Farley,Kentucky
12938,Monroe,Indiana
12939,Pleasant Garden,North Carolina
12940,Lake Wylie,South Carolina
12941,Lakeview,Ohio
12942,Titusville,Pennsylvania
12943,La Habra,California
12944,Warwick,Oklahoma
12945,Grand Rapids,Minnesota
12946,South Highpoint,Florida
12947,Sonora,California
12948,Amesti,California
12949,Glenmora,Louisiana
12950,Toronto,Ohio
12951,Kenneth City,Florida
12952,Prince George,Virginia
12953,Edinburg,Illinois
12954,Pine Crest,Tennessee
12955,Bostwick,Georgia
12956,Durham,California
12957,Rock Creek,Ohio
12958,Bradley,Maine
12959,Canandaigua,New York
12960,Mead,Nebraska
12961,Aberdeen,Ohio
12962,Brookport,Illinois
12963,Chagrin Falls,Ohio
12964,Sylvan Hills,Pennsylvania
12965,Mayetta,Kansas
12966,Richmond,Missouri
12967,"Shirley, Ma",Massachusetts
12968,Avondale,Colorado
12969,Tallulah Falls,Georgia
12970,Westway,Texas
12971,Willard,Utah
12972,River Bluff,Kentucky
12973,Castroville,Texas
12974,Cressona,Pennsylvania
12975,Wesleyville,Pennsylvania
12976,Fulton,Mississippi
12977,Chester Gap,Virginia
12978,Waconia,Minnesota
12979,Sioux Falls,South Dakota
12980,Santa Fe Foothills,New Mexico
12981,Fremont Hills,Missouri
12982,Nescopeck,Pennsylvania
12983,Stone Ridge,New York
12984,New Paris,Indiana
12985,Seven Fields,Pennsylvania
12986,Regency at Monroe,New Jersey
12987,Chino Valley,Arizona
12988,Broomes Island,Maryland
12989,Brant,New York
12990,Dwight,North Dakota
12991,Ypsilanti,North Dakota
12992,Nevada,Iowa
12993,Chiefland,Florida
12994,Gillett,Wisconsin
12995,Loyalhanna,Pennsylvania
12996,Ochelata,Oklahoma
12997,Poquott,New York
12998,Ingram,Pennsylvania
12999,Jefferson,Ohio
13000,Waldport,Oregon
13001,Newark Valley,New York
13002,Edgewood,Pennsylvania
13003,Riverdale,Iowa
13004,Benbow,California
13005,Cleveland,Texas
13006,Perkins,Oklahoma
13007,Arroyo Grande,California
13008,East Side,Pennsylvania
13009,Rio Pinar,Florida
13010,Nashwauk,Minnesota
13011,Gettysburg,Pennsylvania
13012,Lorane,Pennsylvania
13013,Dover,Tennessee
13014,Albion,Washington
13015,Plainedge,New York
13016,Graford,Texas
13017,Golden Beach,Florida
13018,Brandon,Florida
13019,Iowa Colony,Texas
13020,The Woodlands,Texas
13021,Bonne Terre,Missouri
13022,Camargo,Kentucky
13023,Manitou,Kentucky
13024,Thermal,California
13025,Silver Springs,Nevada
13026,Downey,California
13027,Wiggins,Mississippi
13028,Beach City,Ohio
13029,New Market,Alabama
13030,West Newbury,Massachusetts
13031,Long Creek,Illinois
13032,Twin Lakes,Virginia
13033,Broadview Heights,Ohio
13034,Brooklyn,Wisconsin
13035,Bradford,Illinois
13036,Jacumba,California
13037,Yachats,Oregon
13038,Belvedere,California
13039,Honey Grove,Texas
13040,Hollywood,Alabama
13041,Mina,South Dakota
13042,Atlantic Mine,Michigan
13043,Inman,Kansas
13044,Brentwood,Maryland
13045,Lakewood Gardens,Florida
13046,Union,Kentucky
13047,Manhattan Beach,Minnesota
13048,Lake Elsinore,California
13049,Malden,Missouri
13050,Seven Points,Texas
13051,Seneca Knolls,New York
13052,Plattsburg,Missouri
13053,Teays Valley,West Virginia
13054,Salladasburg,Pennsylvania
13055,Kingsley,Michigan
13056,North Haverhill,New Hampshire
13057,Stagecoach,Texas
13058,Brownlee Park,Michigan
13059,Key Colony Beach,Florida
13060,Galva,Kansas
13061,Sherwood Shores,Texas
13062,Erwin,New York
13063,Plymouth,Utah
13064,Broome,New York
13065,Headland,Alabama
13066,Minnetonka,Minnesota
13067,Soledad,California
13068,Sycamore Hills,Missouri
13069,Morrisonville,New York
13070,Morton,Washington
13071,Mill Plain,Washington
13072,Fellsmere,Florida
13073,West Plains,Missouri
13074,Eckhart Mines,Maryland
13075,Mingo Junction,Ohio
13076,Sabinal,Texas
13077,Lodi,Ohio
13078,Belmont,Pennsylvania
13079,Westmoreland,New York
13080,Madison,California
13081,Canton,Missouri
13082,Wolverine Lake,Michigan
13083,Crownsville,Maryland
13084,Peekskill,New York
13085,El Paso de Robles,California
13086,Dundee,Oregon
13087,Riverton,New Jersey
13088,Holiday Beach,Texas
13089,Scott,Louisiana
13090,Cocoa West,Florida
13091,Bella Villa,Missouri
13092,Shanor-Northvue,Pennsylvania
13093,Cedar Bluffs,Nebraska
13094,Warsaw,Illinois
13095,Eagleview,Pennsylvania
13096,Galena,Indiana
13097,Combee Settlement,Florida
13098,Indian Hills,Texas
13099,Oil City,Pennsylvania
13100,Schall Circle,Florida
13101,East Lake,Florida
13102,Marthasville,Missouri
13103,Blackshear,Georgia
13104,Walker Valley,New York
13105,Crystal Lake Park,Missouri
13106,Pound Ridge,New York
13107,Abbottstown,Pennsylvania
13108,Bagdad,Florida
13109,Florence,Wisconsin
13110,Wiggins,Colorado
13111,Jacksboro,Tennessee
13112,Valhalla,New York
13113,Boca Raton,Florida
13114,Whitehorn Cove,Oklahoma
13115,Free Soil,Michigan
13116,Rocky Point,Oklahoma
13117,Manahawkin,New Jersey
13118,Palatine,Illinois
13119,Cave Junction,Oregon
13120,Kenilworth,Illinois
13121,Salem,Arkansas
13122,Edmundson Acres,California
13123,Midland,Virginia
13124,Palm Harbor,Florida
13125,Paola,Kansas
13126,Merrillville,Indiana
13127,Green Valley,South Dakota
13128,Gum Springs,Arkansas
13129,Winslow,Maine
13130,Riverside,Iowa
13131,Byron,Illinois
13132,Palmer Lake,Colorado
13133,Pulaski,Virginia
13134,Riverview,Missouri
13135,McMinnville,Oregon
13136,Lake George,New York
13137,Grindstone,Pennsylvania
13138,Wilkinsburg,Pennsylvania
13139,Reserve,Louisiana
13140,Cecilia,Kentucky
13141,Vermontville,Michigan
13142,Fincastle,Kentucky
13143,Garland,Nebraska
13144,East Brewton,Alabama
13145,Paramount-Long Meadow,Maryland
13146,Rantoul,Illinois
13147,Hiram,Georgia
13148,Frankfort,Ohio
13149,Keno,Oregon
13150,West,Texas
13151,Ottertail,Minnesota
13152,Royal Center,Indiana
13153,Wells River,Vermont
13154,Mount Airy,North Carolina
13155,Clay Springs,Arizona
13156,Suncrest,Washington
13157,Kenilworth,New Jersey
13158,Cortland,Nebraska
13159,Hilltop,South Carolina
13160,Meiners Oaks,California
13161,East Kingston,New York
13162,Winchester,Illinois
13163,Cudjoe Key,Florida
13164,Twin Creeks,Montana
13165,Brutus,New York
13166,McKnightstown,Pennsylvania
13167,Farmington,New Hampshire
13168,Bigfork,Montana
13169,South Weber,Utah
13170,Lake Holiday,Illinois
13171,Willet,New York
13172,Ridgeway,Wisconsin
13173,Macomb,New York
13174,Selma,North Carolina
13175,Green,Oregon
13176,Pennsbury Village,Pennsylvania
13177,Miami Township,Ohio
13178,Elmira Heights,New York
13179,Easton,California
13180,Ranlo,North Carolina
13181,Harrisville,Pennsylvania
13182,Nissequogue,New York
13183,Winslow,Illinois
13184,Norwich,Ohio
13185,Grant-Valkaria,Florida
13186,Center Point,Texas
13187,Martinsville,New Jersey
13188,Allison Park,Pennsylvania
13189,Bourbon,Indiana
13190,Millbrook,New York
13191,Balaton,Minnesota
13192,Silver Springs Shores,Florida
13193,Manton,California
13194,Marcellus,Michigan
13195,Sinking Spring,Pennsylvania
13196,Miami Beach,Florida
13197,Comstock Park,Michigan
13198,Glasgow,Kentucky
13199,Saddle Rock Estates,New York
13200,Aspers,Pennsylvania
13201,Mohall,North Dakota
13202,Honaunau-Napoopoo,Hawaii
13203,Barton Creek,Texas
13204,Española,New Mexico
13205,Marion,Ohio
13206,South Amboy,New Jersey
13207,Barnhill,Ohio
13208,Thornport,Ohio
13209,Maltby,Washington
13210,Valparaiso,Nebraska
13211,Princeton,New Jersey
13212,Jupiter Inlet Colony,Florida
13213,Crawfordsville,Indiana
13214,Strafford,Missouri
13215,Waldron,Michigan
13216,Deercroft,North Carolina
13217,Willow Valley,Arizona
